DBN,Printed_Name,BUS,SUBWAY
02M529,Jacqueline Kennedy Onassis High School,M1  M104  M11  M2  M20  M3  M34A-SBS  M4  M42  M5  M50  M7,7 to 42nd St - Bryant Park;  A  C  E to 42 St - Port Authority Bus Terminal;  B  D  F  M to 47 - 50 Sts Rockefeller Center;  N  Q  R to 49 St;  4  5  6 to Grand Central;  1  2  3  S to Times Sq - 42nd St
02M531,Repertory Company High School for Theatre Arts,M1  M104  M11  M2  M20  M3  M34A-SBS  M4  M42  M5  M50  M7,7  B  D  F  M to 42nd St - Bryant Park;  A  C  E to 42 St - Port Authority Bus Terminal;  4  5  6 to Grand Central;  1  2  3  N  Q  R  S to Times Sq - 42nd St
02M533,Union Sq Academy for Health Sciences,M1  M101  M103  M14AD  M15  M2  M23  M3  M34A-SBS  M5  M8  M9,1  2  3  F  M to 14 St;  4  5  6  L  N  Q  R to Union Sq - 14 St;  L to 3 Av
02M534,Harvest Collegiate High School,M1  M101  M14AD  M2  M20  M23  M5  M7  M8,4  5  6  N  Q  R to Union Sq - 14 St;  1  2  3  F  L  M to 6 Av;  A  B  C  D  E to WeSt4 St
02M542,Manhattan Bridges High School,M11  M20  M31  M34A-SBS  M42  M50  M57,C  E to 50 St
02M543,New Design High School,M103  M14AD  M15  M15-SBS  M21  M22  M9,F  J  M  Z to Delancey St; to Essex St;  B  D to Grand St
02M545,High School for Dual Language and Asian Studies,M103  M14AD  M15  M15-SBS  M21  M22  M9,F  J  M  Z to Delancey St; to Essex St;  B  D to Grand St
02M546,Academy for Software Engineering (AFSE),M1  M101  M103  M14AD  M15  M2  M23  M3  M34A-SBS  M5  M8  M9,1  2  3  F  M to 14 St;  4  5  6  L  N  Q  R to Union Sq - 14 St;  L to 3 Av
02M551,Urban Assembly New York Harbor School,N/A,1  R to Sou Ferry ; 4  5 to Bowling Green
02M580,Richa R. Green High School of Teaching,M15  M15-SBS  M20  M5,4  5 to Bowling Green;  J  Z to Broad St;  A  C to Fulton St - Broadway - Nassau;  1  R to Rector St;  2  3 to Wall St;  1  R to Whitehall;  E to World Trade Center
02M600,The High School of Fashion Industries,M1  M11  M14AD  M20  M23  M34A-SBS  M34-SBS  M4  M5  M7,A  L to 14 St - 8 Av;  1  C  E  F  M to 23 St;  N  R to 28 St;  2  3 to 34 St -  Penn Station;  B  D  Q to 34 St - Herald Sq
02M605,Humanities Preparatory Academy,M11  M14AD  M20  M23  M5  M7,2  3  F  M to 14 St;  A  C  E  L to 14 St - 8 Av;  1 to 18 St
02M615,Chelsea Career and Technical Education High School,M20  M21  M5,B  D  F  M to Broadway-Lafayette St;  1  6  A  J  N  Q  R  Z to Canal St;  N  R to Prince St;  C  E to Spring St
02M630,Art and Design High School,M1  M101  M15  M3  M31  M50  M57  Q101  Q32  Q60,6  E  M to Lexington Av/53 St;  4  5  6  N  Q  R to Lexington Av/59 St;  F to Lexington Av/63 St
02M655,Life Sciences Secondary School,M101  M106  M15  M15-SBS  M31  M86  M96  M98,6 to 96 St
03M299,High School for Arts  Imagination and Inquiry,M10  M104  M11  M20  M31  M5  M57  M66  M7  M72,A  B  C  D to 59 St - Columbus Circle;  1 to 66 St - Lincoln Center;  2  3 to 72 St
03M307,The Urban Assembly School for Media Studies,M10  M104  M11  M20  M31  M5  M57  M66  M7  M72,A  B  C  D to 59 St - Columbus Circle;  1 to 66 St - Lincoln Center;  2  3 to 72 St
03M402,The Urban Assembly School for Green Careers,M10  M104  M5  M7  M79  M86,1  B  C to 86 St;  2  3 to 96 St
03M403,The Global Learning Collaborative,M10  M104  M5  M7  M79  M86,1  B  C to 86 St;  2  3 to 96 St
03M415,Wadleigh Secondary School for the Performing & Visual Arts,M1  M10  M102  M11  M116  M2  M3  M4  M7,2  3  B  C to 116 St
03M417,Frank McCourt High School,M10  M104  M5  M7  M79  M86,1  B  C to 86 St;  2  3 to 96 St
03M479,Beacon High School,M10  M104  M11  M20  M31  M5  M57  M66  M7  M72,A  B  C  D to 59 St - Columbus Circle;  1 to 66 St - Lincoln Center
03M492,High School for Law  Advocacy and Community Justice,M10  M104  M11  M20  M31  M5  M57  M66  M7  M72,A  B  C  D to 59 St - Columbus Circle;  1 to 66 St - Lincoln Center;  2  3 to 72 St
03M494,High School of Arts and Technology,M10  M104  M11  M20  M31  M5  M57  M66  M7  M72,A  B  C  D to 59 St - Columbus Circle;  1 to 66 St - Lincoln Center;  2  3 to 72 St
03M541,Manhattan/Hunter Science High School,M10  M104  M11  M20  M31  M5  M57  M66  M7  M72,A  B  C  D to 59 St - Columbus Circle;  1 to 66 St - Lincoln Center;  2  3 to 72 St
03M859,Special Music School,M10  M104  M11  M20  M5  M57  M66  M7  M72,A  D to 59 St - Columbus Circle;  1 to 66 St - Lincoln Center;  2  3  B  C to 72 St
03M860,Frederick Douglass Academy II Secondary School,M1  M10  M102  M11  M116  M2  M3  M4  M7,2  3  B  C to 116 St
04M372,Esperanza Preparatory Academy,M1  M101  M102  M106  M116  M15  M15-SBS  M2  M3  M98,6 to 110 St
04M409,Coalition School for Social Change,BX15  M100  M101  M102  M103  M116  M15  M35  M60  M98,6 to 116 St;  4  5  6 to 125 St
04M435,Manhattan Center for Science and Mathematics,M101  M102  M106  M116  M15  M35  M98,2  3  6 to 116 St; 4  5 to 125 St
04M495,Park East High School,M1  M101  M102  M106  M15  M15-SBS  M2  M96  M98,6 to 103 St
04M555,Central Park East High School,M1  M101  M102  M106  M15  M15-SBS  M2  M3  M96  M98,6 to 103 St;  2  3 to Central Park Nor (110 St)
04M610,Young Women's Leadership School,M1  M101  M102  M106  M116  M15  M15-SBS  M2  M3  M98,6 to 103 St;  2  3 to Central Park Nor (110 St)
04M680,The Heritage School,M1  M101  M102  M106  M15  M15-SBS  M2  M3  M96  M98,6 to 103 St
05M304,Mott Hall High School,BX19  BX33  M1  M10  M100  M101  M102  M104  M11  M2  M3  M4  M5  M7,A  D to 125 St;  2  3  B  C to 135 St;  1 to 137 St - City College
05M362,Columbia Secondary School,BX15  M10  M100  M104  M11  M2  M3  M4  M5  M7,1  A  B  C  D to 125 St
05M367,Academy for Social Action: A College Boa School,BX15  BX33  M10  M100  M101  M104  M11  M3  M4  M5,1  A  B  C  D to 125 St
05M369,The Urban Assembly School for the Performing Arts,BX15  BX33  M10  M100  M101  M104  M11  M3  M4  M5,1  A  B  C  D to 125 St
05M499,Frederick Douglass Academy,BX19  BX6  M1  M10  M102  M2  M3  M7,A  B  C  D to 145 St;  3 to Harlem - 148 St
05M670,Thurgood Marshall Academy for Learning and Social Change,BX15  BX33  M1  M10  M100  M101  M102  M2  M3  M7,A  D to 125 St;  2  3  B  C to 135 St
06M293,City College Academy of the Arts,BX7  M101  M3  M4,A to 190 St;  1 to Dyckman St
06M346,Community Health Academy of the Heights,BX03  BX11  BX35  BX36  BX7  M101  M3  M4  M5  M98,1  A to 181St
06M348,Washington Heights Expeditionary Learning School,BX11  BX18  BX3  BX35  BX36  BX7  M101  M3  M4  M5  M98,1  A to 181St
06M423,High School for Excellence and Innovation,BX12  BX20  BX7  M100  M4,1 to Dyckman St;  A to Dyckman St - 200 St
06M462,The College Academy,BX18  BX40  BX7  M101  M3  M4,A to 190 St;  1 to 191St
06M463,High School for Media and Communications,BX18  BX40  BX7  M101  M3  M4,A to 190 St;  1 to 191St
06M467,High School for Law and Public Service,BX18  BX40  BX7  M101  M3  M4,A to 190 St;  1 to 191St
06M468,High School for Health Careers and Sciences,BX18  BX40  BX7  M101  M3  M4,A to 190 St;  1 to 191St
06M540,A. Philip Randolph Campus High School,BX15  BX19  BX33  M10  M100  M101  M104  M11  M2  M3  M4  M5,A  D to 125 St;  B  C to 135 St;  1 to 137 St - City College
06M552,Gregorio Luperon High School for Science and Mathematics,BX6  BX7  M100  M101  M2  M3  M4  M5,1  A  C to 168 St -  Washington Hts
07X221,South Bronx Preparatory: A College Boa School,BX1  BX15  BX17  BX19  BX2  BX21  BX32  BX33  BX4  BX41  BX55,4 to 138 St -  Grand Concourse;  6 to 3 Av - 138 St;  2  5 to 3 Av - 149 St
07X223,The Laboratory School of Finance and Technology,BX1  BX15  BX17  BX19  BX2  BX21  BX32  BX33  BX4  BX41  BX55,4 to 138 St -  Grand Concourse;  6 to 3 Av - 138 St;  2  5 to 3 Av - 149 St
07X334,International Community High School,BX1  BX15  BX17  BX19  BX2  BX21  BX32  BX33  BX4  BX41  BX55,2  5 to 3 Av - 149 St;  6 to Brook Av
07X427,Community School for Social Justice,BX1  BX15  BX19  BX2  BX32  BX33  M1  M102  M7,4  5 to 138 St -  Grand Concourse;  3 to 145 St;  2 to 149 St -  Grand Concourse;  6 to 3 Av - 138 St
07X473,Mott Haven Village Preparatory High School,BX13  BX15  BX17  BX19  BX2  BX21  BX4  BX41  BX55  BX6,2  5 to Jackson Av
07X495,University Heights Secondary School,BX13  BX15  BX17  BX19  BX2  BX21  BX4  BX41  BX55  BX6,2  5 to Jackson Av
07X500,Hostos-Lincoln Academy of Science,BX15  BX17  BX19  BX2  BX21  BX4  BX41  BX55,6 to E 149 St -  StMary's St;  2  5 to Jackson Av
07X520,Foreign Language Academy of Global Studies,BX17  BX19  BX33  BX4,6 to E 143 St - StMary's St;  2  5 to Jackson Av
07X522,Bronx Design and Construction Academy,BX1  BX13  BX15  BX17  BX19  BX2  BX21  BX32  BX4  BX41  BX55  BX6,4 to 149 St -  Grand Concourse;  2  5 to 3 Av - 149 St
07X527,Bronx Leadership Academy II High School,BX1  BX13  BX19  BX2  BX32  BX41  BX6,2  4  5 to 149 St -  Grand Concourse;  B  D to 161 St - Yankee Stadium
07X547,New Explorers High School,BX1  BX13  BX19  BX2  BX32  BX41  BX6,2  4  5 to 149 St -  Grand Concourse;  B  D to 161 St - Yankee Stadium
07X548,Urban Assembly School for Careers in Sports,BX1  BX13  BX19  BX2  BX32  BX41  BX6,2  4  5 to 149 St -  Grand Concourse;  B  D to 161 St - Yankee Stadium
07X551,The Urban Assembly Bronx Academy of Letters,BX1  BX15  BX17  BX19  BX2  BX21  BX32  BX33  BX4  BX41  BX55,4  5 to 138 St -  Grand Concourse;  2 to 149 St -  Grand Concourse;  6 to 3 Av - 138 St;  2  5 to 3 Av - 149 St;  6 to Brook Av
07X600,Alfred E. Smith Career and Technical Education High School,BX1  BX13  BX15  BX17  BX19  BX2  BX21  BX32  BX4  BX41  BX55  BX6,4 to 149 St -  Grand Concourse;  2  5 to 3 Av - 149 St
07X670,Health Opportunities High School,BX1  BX15  BX19  BX2  BX32  BX33  M1  M102  M7,4  5 to 138 St -  Grand Concourse;  3 to 145 St;  2 to 149 St -  Grand Concourse;  6 to 3 Av - 138 St
08X269,The Urban Assembly Bronx Studio School for Writers and Artists,BX11  BX17  BX19  BX27  BX35  BX4  BX5  BX6,6 to Hunts Point Av;  2  5 to Intervale Av
08X282,Women's Academy of Excellence,BX22  BX27  BX36  BX39  BX5,6 to Parkchester
08X293,Renaissance High School for Musical Theater & Technology,BX21  BX24  BX31  BX4  BX40  BX4A  BX8,6 to Westchester Sq - E Tremont Av - East Tremont Av
08X305,Pablo Neruda Academy ,BX22  BX27  BX36  BX39  BX5,2  5 to Prospect Av ; 4 to 161 St - Yankee Stadium ; 6 to Longwood Av ; 6 to Parkchester; B  D to 167 St
08X312,Millennium Art Academy,BX22  BX27  BX36  BX39  BX5,2  5 to Prospect Av ; 4 to 161 St - Yankee Stadium ; 6 to Longwood Av ; 6 to Parkchester; B  D to 167 St
08X332,Holcombe L. Rucker School of Community Research,BX17  BX19  BX4  BX5  BX6,6 to Longwood Av;  2  5 to Prospect Av
08X367,Archimedes Academy for Math  Science and Technology Applications,BX22  BX27  BX36  BX39  BX5,6 to Castle Hill Av
08X376,Antonia Pantoja Preparatory Academy: A College Boa School,BX22  BX27  BX36  BX39  BX5,2  5 to Prospect Av ; 4 to 161 St - Yankee Stadium ; 6 to Longwood Av ; 6 to Parkchester; B  D to 167 St
08X405,Herbert H. Lehman High School,BX21  BX24  BX31  BX4  BX40  BX4A  BX8,6 to Westchester Sq - E Tremont Av - East Tremont Av
08X432,Bronx Bridges High School,BX22  BX27  BX36  BX39  BX5,2  5 to Prospect Av ; 4 to 161 St - Yankee Stadium ; 6 to Longwood Av ; 6 to Parkchester; B  D to 167 St
08X452,Bronx Guild,BX22  BX27  BX36  BX39  BX5,2  5 to Prospect Av ; 4 to 161 St - Yankee Stadium ; 6 to Longwood Av ; 6 to Parkchester; B  D to 167 St
08X519,The Felisa Rincon de Gautier Institute for Law and Public Policy,BX5  BX6,6 to Whitlock Av
08X530,Banana Kelly High School,BX17  BX19  BX4  BX5  BX6,6 to Longwood Av;  2  5 to Prospect Av
08X558,Westchester Sq - E Tremont Av Academy,BX21  BX24  BX31  BX4  BX40  BX4A  BX8,6 to Westchester Sq - E Tremont Av - East Tremont Av
08X559,School for Tourism and Hospitality,BX13  BX15  BX17  BX19  BX21  BX4  BX6,6 to Longwood Av;  2  5 to Prospect Av
08X561,The Bronx Compass High School,BX22  BX27  BX36  BX39  BX5,2  4  5  6
09X227,Bronx Collegiate Academy,BX1  BX11  BX15  BX18  BX32  BX35  BX41,4  B  D to 170 St
09X231,Eagle Academy for Young Men,BX15  BX17  BX36  BX40  BX41,2  5 to 174 St; 4 to Burnside Av ; B  D to Tremont Av
09X241,The Urban Assembly School for Applied Math and Science,BX11  BX15  BX17  BX21  BX32  BX41,2  5 to 174 St; 4 to Mt Eden Av ; B  D to 170 St
09X250,Eximius College Preparatory Academy: A College Boa School,BX11  BX15  BX17  BX21  BX35  BX41,2  5 to Freeman St; 4  B  D to 170 St; 6 to Whitlock Av
09X252,Mott Hall Bronx High School,BX11  BX15  BX17  BX21  BX32  BX41,2  5 to 174 St; 4 to Mt Eden Av ; B  D to 170 St
09X260,Bronx Center for Science and Mathematics,BX11  BX15  BX17  BX21  BX35  BX41,2  5 to Freeman St; 4  B  D to 170 St; 6 to Whitlock Av
09X263,Validus Preparatory Academy: An Expeditionary Learning School,BX11  BX15  BX17  BX21  BX32  BX41,2  5 to 174 St; 4 to Mt Eden Av ; B  D to 170 St
09X276,Leadership Institute,BX11  BX15  BX17  BX21  BX36  BX40  BX41,2  5 to 174 St; 4 to 176 St; B to 174 - 175 Sts ; D to Tremont Av
09X297,Morris Academy for Collaborative Studies,BX13  BX15  BX17  BX21  BX35  BX4  BX41  BX6,2  5 to Intervale Av
09X324,Bronx Early College Academy for Teaching & Learning,BX1  BX13  BX32  BX35  BX41  BX6,4  B  D to 161 St - Yankee Stadium;  B  D to 167 St
09X327,Comprehensive Model School Project (CMSP),BX1  BX11  BX18  BX3  BX32  BX35  BX36,B  D to 170 St;  4 to Mt Eden Av
09X329,DreamYa Preparatory School,BX1  BX11  BX15  BX18  BX32  BX35  BX41,4  B  D to 170 St
09X365,Academy for Language and Technology,BX1  BX18  BX3  BX32  BX36  BX40,B  D to 174 - 175 Sts;  4 to 176 St
09X403,Bronx International High School,BX13  BX15  BX17  BX21  BX35  BX4  BX41  BX6,2  5 to Intervale Av
09X404,School for Excellence,BX13  BX15  BX17  BX21  BX35  BX4  BX41  BX6,2  5 to Intervale Av
09X412,Bronx High School of Business,BX1  BX11  BX15  BX18  BX32  BX35  BX41,4  B  D to 170 St
09X413,Bronx High School for Medical Science,BX1  BX11  BX15  BX18  BX32  BX35  BX41,4  B  D to 170 St
09X505,Bronx School for Law  Government and Justice,BX1  BX13  BX32  BX35  BX41  BX6,4  B  D to 161 St - Yankee Stadium
09X517,Frederick Douglass Academy III Secondary School,BX11  BX15  BX17  BX21  BX32  BX35  BX41,2  5 to Freeman St; 4  B  D to 170 St
09X525,Bronx Leadership Academy High School,BX1  BX11  BX15  BX17  BX32  BX36  BX40  BX41,B  D to 174 - 175 Sts
09X543,High School for Violin and Dance,BX13  BX15  BX17  BX21  BX35  BX4  BX41  BX6,2  5 to Intervale Av
09X564,Claremont International High School,BX1  BX11  BX15  BX18  BX32  BX35  BX41,4  B  D to 170 St
10X141,Riveale/Kingsbridge Academy (MS/HS 141),BX10  BX20  BX7,1 to 238 St
10X213,Bronx Engineering and Technology Academy,BX1  BX10  BX7  BX9  M100,1 to Marble Hill - 225 St
10X225,Theatre Arts Production Company School,BX1  BX15  BX17  BX32  BX36  BX40  BX41,B  D to 182nd - 183 Sts;  4 to 183 St
10X237,The Marie Curie School for Medicine  Nursing  and Health Professions,BX1  BX10  BX22  BX3  BX32  BX7  BX9,1 to 231St
10X243,West Bronx Academy for the Future,BX1  BX12  BX12-SBS  BX15  BX17  BX19  BX22  BX28  BX34  BX41  BX55  BX9,B  D to Foham 
10X268,Kingsbridge International High School,BX1  BX10  BX22  BX26  BX28  BX3  BX32  BX34  BX9,4  B  D to Kingsbridge 
10X284,Bronx School of Law and Finance,BX1  BX10  BX7  BX9  M100,1 to Marble Hill - 225 St
10X342,International School for Liberal Arts,BX1  BX10  BX22  BX26  BX28  BX3  BX32  BX34  BX9,4  B  D to Kingsbridge 
10X368,IN-Tech Academy (MS/HS 368),BX1  BX10  BX7  BX9  M100,1 to Marble Hill - 225 St
10X374,Knowledge and Power Preparatory Academy International High School,BX1  BX12  BX12-SBS  BX15  BX17  BX19  BX22  BX28  BX34  BX41  BX55  BX9,B  D to Foham 
10X433,High School for Teaching and the Professions,BX1  BX10  BX22  BX26  BX28  BX3  BX32  BX34  BX9,4  B  D to Kingsbridge 
10X434,Belmont Preparatory High School,BX1  BX12  BX12-SBS  BX15  BX17  BX19  BX22  BX28  BX34  BX41  BX55  BX9,B  D to Foham 
10X437,Foham High School for the Arts,BX1  BX12  BX12-SBS  BX15  BX17  BX19  BX22  BX28  BX34  BX41  BX55  BX9,B  D to Foham 
10X438,Foham Leadership Academy for Business and Technology,BX1  BX12  BX12-SBS  BX15  BX17  BX19  BX22  BX28  BX34  BX41  BX55  BX9,B  D to Foham 
10X439,Bronx High School for Law and Community Service,BX1  BX12  BX12-SBS  BX15  BX17  BX19  BX22  BX28  BX34  BX41  BX55  BX9,B  D to Foham 
10X440,DeWitt Clinton High School,BX1  BX10  BX16  BX22  BX28,4 to Mosholu Pkwy
10X442,The Celia Cruz Bronx High School of Music,BX1  BX10  BX22  BX26  BX28  BX3  BX32  BX34  BX9,4  B  D to Kingsbridge 
10X477,Marble Hill High School for International Studies,BX1  BX10  BX7  BX9  M100,1 to Marble Hill - 225 St
10X524,Crotona International High School,BX12  BX15  BX17  BX19  BX36  BX9,N/A
10X546,Bronx Theatre High School,BX1  BX10  BX7  BX9  M100,1 to Marble Hill - 225 St
10X549,Discovery High School,BX1  BX10  BX22  BX26  BX28  BX3  BX32  BX34  BX9,4  B  D to Kingsbridge 
10X565,High School for Energy and Technology,BX12  BX15  BX17  BX19  BX36  BX9,2  5  B  D
11X249,Bronx Health Sciences High School,BX12  Bx23  BX26  BX28  BX29  BX30  Q50,5 to Baychester Av
11X253,Bronx High School for Writing and Communication Arts,BX28  BX30  BX39  BX41  BX55  BX8,2  5 to Gun Hill 
11X265,Bronx Lab School,BX28  BX30  BX39  BX41  BX55  BX8,2  5 to Gun Hill 
11X270,Academy for Scholarship and Entrepreneurship: A College Boa School,BX31  BX39  BX8,2  5 to 225 St
11X275,High School of Computers and Technology,BX28  BX30  BX39  BX41  BX55  BX8,2  5 to Gun Hill 
11X288,Collegiate Institute for Math and Science,BX12  BX12-SBS  BX26  BX39  BX8,2  5 to Pelham Pkwy
11X290,Bronx Academy of Health Careers,BX28  BX30  BX39  BX41  BX55  BX8,2  5 to Gun Hill 
11X299,Astor Collegiate Academy,BX12  BX12-SBS  BX26  BX39  BX8,2  5 to Pelham Pkwy
11X418,Bronx High School for the Visual Arts,BX12  BX12-SBS  BX21  BX22  BX39,2  5 to Bronx Park East
11X455,Harry S Truman High School,BX12  Bx23  BX26  BX28  BX29  BX30  Q50,5 to Baychester Av
11X508,Bronxdale High School,BX12  BX12-SBS  BX26  BX39  BX8,2  5 to Pelham Pkwy
11X509,High School of Language and Innovation,BX12  BX12-SBS  BX26  BX39  BX8,2  5 to Pelham Pkwy
11X513,New World High School,BX31  BX39  BX8,2  5 to 225 St
11X514,The Bronxwood Preparatory Academy,BX31  BX39  BX8,2  5 to 225 St
11X542,Pelham Preparatory Academy,BX12  BX12-SBS  BX26  BX39  BX8,2  5 to Pelham Pkwy
11X544,High School for Contemporary Arts,BX28  BX30  BX39  BX41  BX55  BX8,2  5 to Gun Hill 
11X545,Bronx Aerospace High School,BX28  BX30  BX39  BX41  BX55  BX8,2  5 to Gun Hill 
12X242,Mott Hall V,BX11  BX27  BX36  BX4  Q44,6 to Elder Av
12X248,The Metropolitan High School,BX11  BX17  BX19  BX21  BX27  BX35  BX4  BX5  BX6,2  5 to Simpson St
12X251,Explorations Academy,BX11  BX17  BX19  BX21  BX36,2  5 to 174 St
12X267,Bronx Latin,BX11  BX15  BX17  BX19  BX21  BX27  BX35  BX4  BX5  BX6,2  5 to Intervale Av
12X271,East Bronx Academy for the Future,BX11  BX17  BX19  BX21  BX36  BX40  BX9,2  5 to 174 St
12X278,Peace and Diversity Academy,BX11  BX17  BX19  BX21  BX27  BX35  BX4  BX5  BX6,2  5 to Simpson St
